class,feature,n_positive,n_negative,class_min,class_p10,class_p25,class_median,class_p75,class_p90,class_max,class_mean,class_std,other_min,other_p10,other_p25,other_median,other_p75,other_p90,other_max,other_mean,other_std,median_gap,auc,strength,direction,recommendation
01_Good,mean_star_area,50,250,8.0,19.964285714285715,27.64032258064516,32.18374316939891,40.841014040145204,48.426213946695874,61.293103448275865,33.53466675627526,10.8275908713363,0.0,0.0,6.270833333333333,22.725610743690105,40.57884615384616,103.22019056261342,373.65625,37.6833831387613,50.44965419521925,9.458132425708804,0.63284,0.2656799999999999,HIGH,DROP
01_Good,median_eccentricity,50,250,0.27117165145140565,0.3263374132126976,0.348900226721258,0.36816300753722386,0.4442946040461282,0.5270914483324807,0.6128029873567216,0.4002644312416434,0.07786109894061931,0.0,0.0,0.3184736988347306,0.419939293552099,0.6441860515826295,0.7429155181781474,0.8335502407041915,0.42068750325234844,0.25345868505204805,-0.05177628601487516,0.42072,0.15856000000000003,LOW,DROP
01_Good,median_fwhm,50,250,12.251657000662487,15.59057823931812,17.324463289934595,18.531674543614145,20.856698690146345,22.91508028775154,25.366975686825903,18.842775085681595,2.9803264535559744,0.0,0.0,9.549097923087796,13.608443327242313,20.130417711981977,24.808298593642753,33.50375367601456,13.84571957381233,8.841002663480852,4.923231216371832,0.6928,0.38559999999999994,HIGH,DROP
01_Good,median_fwhm_ratio,50,250,1.0389275720775777,1.0579207977651168,1.06708221404795,1.0776942634162463,1.1163534405594862,1.1767361067117301,1.2654455193670937,1.0985578038873152,0.04796430577940028,0.0,0.0,1.054932717146003,1.101871290238433,1.3165928514608192,1.5034118654357558,1.8102022127024129,0.995380848328969,0.512842644557301,-0.02417702682218681,0.42336,0.15327999999999997,LOW,DROP
01_Good,median_hfr,50,250,6.049485362023873,7.634046079831503,8.778380602901024,9.88101005231583,10.802992142924678,11.724290459867682,13.78863487901468,9.804117539727732,1.7548491023301829,0.0,0.0,4.176131972839517,6.900018021508718,10.234158047692649,12.07859481989251,15.864725084215465,6.786443162303388,4.295101978032383,2.980992030807112,0.70992,0.41984,HIGH,DROP
01_Good,saturated_ratio,50,250,0.0,0.0,0.0,0.02121114730834961,0.022716283798217773,0.024025821685791017,0.02590465545654297,0.015224857330322266,0.01051157610832354,0.0,0.0,0.0,0.02079010009765625,0.022532224655151367,0.024087142944335938,0.02796649932861328,0.014093650817871093,0.010559259577278306,0.0004210472106933594,0.52388,0.047760000000000025,HIGH,DROP
01_Good,sharpness,50,250,4520.957003521173,10024.910535080015,17794.20228797837,50840.19299596723,61753.83270462561,68749.2080163764,71546.24025432761,42724.16726681142,22296.46824170288,41.67257490841439,423.7580096028367,2068.9266277786905,44380.183665204364,58992.81414743484,69870.47568766204,75195.36848251251,35942.314286612855,27202.780787121206,6460.009330762863,0.58096,0.16192000000000006,HIGH,DROP
01_Good,star_count,50,250,1.0,5.800000000000001,16.5,64.0,246.75,485.50000000000006,788.0,164.8,206.8054157898192,0.0,0.0,2.0,54.5,181.75,310.0,822.0,112.68,143.8337429117382,9.5,0.58004,0.16008,HIGH,DROP
01_Good,std_intensity,50,250,28.6776061170308,34.543694386535705,42.96122768207007,56.8660633477098,58.79719933482609,59.909774053701575,60.99954319504966,51.35748143833329,10.063088488337451,20.391957708997126,22.733860437872117,26.959714244940404,55.87062917088441,58.99570174145418,59.984490245299334,63.139064867306175,46.192453912407494,15.375614457894791,0.995434176825384,0.57376,0.1475200000000001,HIGH,DROP
01_Good,streak_count,50,250,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.212,0.40872484632084705,0.0,0.394,0.21199999999999997,LOW,DROP
