class_a,class_b,feature,mean_auc,std_auc,min_auc,max_auc,mean_strength,std_strength,min_strength,max_strength,direction,direction_consistency,candidate_score
01_Good,05_No_Star,mean_hfr,0.992,0.011661903789690611,0.97,1.0,0.984,0.023323807579381222,0.94,1.0,HIGH,1.0,0.9724676192420619
01_Good,05_No_Star,mean_hollowness,0.968,0.006782329983125275,0.955,0.975,0.9359999999999999,0.01356465996625055,0.9099999999999999,0.95,HIGH,1.0,0.942843534003375
01_Good,05_No_Star,mean_intensity,0.10600000000000001,0.051224993899462785,0.02,0.18,0.788,0.10244998779892556,0.64,0.96,LOW,1.0,0.7863550012201075
01_Good,05_No_Star,mean_star_area,0.999,0.0020000000000000018,0.995,1.0,0.998,0.0040000000000000036,0.99,1.0,HIGH,1.0,0.9957
01_Good,05_No_Star,median_eccentricity,0.914,0.03720215047547656,0.85,0.96,0.8280000000000001,0.07440430095095311,0.7,0.9199999999999999,HIGH,1.0,0.8251595699049047
01_Good,05_No_Star,median_fwhm,0.9940000000000001,0.008000000000000007,0.98,1.0,0.9879999999999999,0.016000000000000014,0.96,1.0,HIGH,1.0,0.981
01_Good,05_No_Star,median_fwhm_ratio,0.916,0.039799497484264805,0.85,0.97,0.8320000000000001,0.07959899496852961,0.7,0.94,HIGH,1.0,0.8264401005031471
01_Good,05_No_Star,median_hfr,0.982,0.014696938456699083,0.96,1.0,0.9640000000000001,0.029393876913398165,0.9199999999999999,1.0,HIGH,1.0,0.9568606123086603
01_Good,05_No_Star,saturated_ratio,0.182,0.06079473661428266,0.08,0.27,0.636,0.12158947322856532,0.45999999999999996,0.84,LOW,1.0,0.6620410526771435
01_Good,05_No_Star,sharpness,0.164,0.06651315659326357,0.04,0.23,0.6719999999999999,0.1330263131865271,0.54,0.92,LOW,1.0,0.7010973686813473
01_Good,05_No_Star,star_count,0.992,0.007483314773547889,0.98,1.0,0.984,0.014966629547095779,0.96,1.0,HIGH,1.0,0.9793033370452905
01_Good,05_No_Star,std_intensity,0.10200000000000001,0.057061370470748426,0.04,0.19,0.7959999999999999,0.11412274094149685,0.62,0.92,LOW,1.0,0.7827877259058503
01_Good,05_No_Star,streak_count,0.5,0.0,0.5,0.5,0.0,0.0,0.0,0.0,UNKNOWN,0.0,0.1
01_Good,05_No_Star,valid_profile_count,0.992,0.007483314773547889,0.98,1.0,0.984,0.014966629547095779,0.96,1.0,HIGH,1.0,0.9793033370452905
01_Good,06_Satellite,axis_aligned_line_ratio,0.373,0.11043550153822819,0.245,0.52,0.27,0.2009975124224178,0.020000000000000018,0.51,LOW,0.8,0.3274002487577582
01_Good,06_Satellite,background_mad,0.526,0.0783836717690617,0.43,0.67,0.10800000000000003,0.12496399481450648,0.020000000000000018,0.3400000000000001,HIGH,0.8,0.26210360051854936
01_Good,06_Satellite,background_median,0.505,0.0773950902835574,0.425,0.64,0.12200000000000003,0.09579144011862438,0.0,0.28,HIGH,0.5,0.22032085598813758
01_Good,06_Satellite,bright_area_ratio,0.45,0.04690415759823429,0.39,0.51,0.10800000000000001,0.08447484832777147,0.020000000000000018,0.21999999999999997,LOW,0.8,0.2661525151672228
01_Good,06_Satellite,diagonal_line_ratio,0.606,0.1290891165048394,0.44,0.77,0.268,0.19943921379708654,0.020000000000000018,0.54,HIGH,0.6,0.29665607862029136
01_Good,06_Satellite,elongated_angle_consistency,0.313,0.08919641248391103,0.24,0.48,0.374,0.17839282496782205,0.040000000000000036,0.52,LOW,1.0,0.41246071750321783
01_Good,06_Satellite,elongated_angle_std,0.6869999999999999,0.08919641248391103,0.52,0.76,0.374,0.17839282496782205,0.040000000000000036,0.52,HIGH,1.0,0.41246071750321783
01_Good,06_Satellite,elongated_radial_alignment,0.372,0.08518215775618741,0.22,0.47,0.25600000000000006,0.17036431551237485,0.06000000000000005,0.56,LOW,1.0,0.3661635684487625
01_Good,06_Satellite,elongated_star_count,0.457,0.02767670500619609,0.43,0.495,0.08600000000000001,0.05535341001239218,0.010000000000000009,0.14,LOW,1.0,0.2861646589987608
01_Good,06_Satellite,elongated_star_ratio,0.392,0.06523802572120035,0.3,0.48,0.21600000000000003,0.1304760514424007,0.040000000000000036,0.4,LOW,1.0,0.34615239485575994
