class,feature,n,min,p10,p25,p50,p75,p90,max,mean,std
02_Out_of_Focus,max_aspect_ratio,50,0.0,1.0,1.8125,2.325757575757576,2.9583333333333335,3.7750000000000004,5.0,2.34552886002886,1.1411886405040756
02_Out_of_Focus,max_streak_area_ratio,50,0.0004200935363769531,0.0007821083068847656,0.0012012720108032227,0.005557537078857422,0.008507132530212402,0.010987091064453126,0.03279924392700195,0.006270942687988282,0.006529343849308626
02_Out_of_Focus,max_streak_aspect_ratio,50,1.85,2.3218084532855117,2.473836810101825,3.212499851627547,3.6,5.291666666666667,11.913043212149713,3.508165015454803,1.6530544066328963
02_Out_of_Focus,max_streak_length_ratio,50,0.021076067653102055,0.03351974607867295,0.03896876671601908,0.07945336591215672,0.1003729067553344,0.13325665715339577,0.221352572054335,0.07896546811957761,0.04659023832505558
02_Out_of_Focus,mean_aspect_ratio,50,0.0,1.0,1.148546101971904,1.2010206425031142,1.2496864676899253,1.4413143070158487,4.0,1.194467302650195,0.5397923753524608
02_Out_of_Focus,mean_circularity,50,0.0,0.5685530102382689,0.6331745042358649,0.6853566324614627,0.765131200270809,0.8068240133576774,0.8386373492977413,0.6436744942586242,0.20621618550127077
02_Out_of_Focus,mean_fwhm,50,0.0,10.13378231255759,13.366416770877827,19.122214288838595,25.310250511699607,28.408700340758543,32.052731109708176,18.785545459740163,8.343165517586401
02_Out_of_Focus,mean_hfr,50,0.0,5.6215336114043275,6.7510575292260215,9.403820497807208,11.286110346888798,13.726387289026428,14.972645274834768,8.96831805429399,3.7588045070515546
02_Out_of_Focus,mean_hollowness,50,0.0,3.92156862538684e-09,0.0004201723210805118,0.022156347741484637,0.12508966078724132,0.29270272277605236,0.44699628566727,0.08270215707337,0.11490244708598867
02_Out_of_Focus,mean_intensity,50,5.642786979675293,18.088217449188235,26.73480200767517,75.10496759414673,105.24210119247437,114.86731395721435,123.23794460296631,65.96697338104248,39.851241974425186
02_Out_of_Focus,mean_star_area,50,0.0,3.95,11.5,33.98214285714286,97.14751683501683,158.2653734061931,304.4,65.06326876950504,72.26841454469844
02_Out_of_Focus,median_eccentricity,50,0.0,0.2983888251619304,0.3797263362059096,0.4976025470100528,0.6204378934288184,0.7051799724487287,0.821231546549151,0.4825767725656783,0.1912579922502146
02_Out_of_Focus,median_fwhm,50,0.0,10.277197523330765,11.475505641639842,17.56661418254453,26.305065717255513,32.05440671291691,33.50375367601456,18.562268834230647,9.448596398386815
02_Out_of_Focus,median_fwhm_ratio,50,0.0,1.0478221288094869,1.0810069586724396,1.1528950241430564,1.3152383186221652,1.416330857607361,1.7525562917459065,1.1255237280157402,0.36593840833654473
02_Out_of_Focus,median_hfr,50,0.0,5.368604744090657,6.045633509186277,8.104967459102882,10.439228375774286,13.606362478725318,15.864725084215465,8.274979140039523,3.8175852324335726
02_Out_of_Focus,saturated_ratio,50,0.0,0.0,0.0,0.005054950714111328,0.020783185958862305,0.0224700927734375,0.023695945739746094,0.00941152572631836,0.00973129400362076
02_Out_of_Focus,sharpness,50,50.81089386586973,335.32576821173683,1678.1244124482769,22164.94651698568,42351.469374957334,55884.125336052355,63756.94073494189,23393.475010033566,22447.69984096217
02_Out_of_Focus,star_count,50,0.0,1.0,6.75,50.5,134.0,290.90000000000003,450.0,95.64,116.58640744100488
02_Out_of_Focus,std_intensity,50,20.391957708997126,22.045021112199194,26.959714244940404,42.999522888372375,54.13068426528104,57.053789089626015,59.02749640520895,40.26640725029263,13.997204416184584
02_Out_of_Focus,streak_count,50,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
02_Out_of_Focus,valid_profile_count,50,0.0,1.0,6.75,50.5,134.0,290.90000000000003,450.0,95.64,116.58640744100488
03_Tracking_Error,axis_aligned_line_ratio,50,0.0,0.006680041750260939,0.00829189109523898,0.011095080416272468,0.014393916518203138,0.016352908048330946,0.3333333333333333,0.02073899653583671,0.04964961796134989
03_Tracking_Error,background_mad,50,8.8956,16.160339999999998,45.9606,56.3388,60.415949999999995,60.93486,66.717,49.607796,15.78313875078034
03_Tracking_Error,background_median,50,17.0,33.0,89.75,111.0,115.0,121.2,127.0,97.18,30.474704264356696
03_Tracking_Error,bright_area_ratio,50,0.0,1.7166137695312503e-05,0.0013082027435302734,0.0034461021423339844,0.00668644905090332,0.016185283660888672,0.023698806762695312,0.0056036376953125,0.006000437891657811
03_Tracking_Error,diagonal_line_ratio,50,0.0,0.9790644368819019,0.9819190260567333,0.9853358518015101,0.988540910191237,0.9909323505987755,0.9933665008291874,0.9558021050114816,0.14560894078489717
03_Tracking_Error,elongated_angle_consistency,50,0.0,0.0,0.0,0.3002684513119298,0.663220348192637,0.9294434986982959,0.9992467753961706,0.3765208477898792,0.3606935044629468
