class,feature,mean_auc,std_auc,min_auc,max_auc,mean_strength,std_strength,min_strength,max_strength,direction,direction_consistency,candidate,candidate_score
04_Over_Saturated,star_count,0.8320000000000001,0.03239135687185704,0.792,0.888,0.6639999999999999,0.06478271374371408,0.5840000000000001,0.776,HIGH,1.0,CORE,0.7175217286256286
04_Over_Saturated,std_intensity,0.09079999999999999,0.014119490075778233,0.068,0.11,0.8184000000000001,0.028238980151556455,0.78,0.864,LOW,1.0,CORE,0.8494561019848444
04_Over_Saturated,streak_count,0.526,0.05748043145279966,0.42,0.57,0.11599999999999999,0.0496386945839634,0.020000000000000018,0.16000000000000003,HIGH,0.8,DROP,0.2732361305416037
04_Over_Saturated,valid_profile_count,0.8320000000000001,0.03239135687185704,0.792,0.888,0.6639999999999999,0.06478271374371408,0.5840000000000001,0.776,HIGH,1.0,CORE,0.7175217286256286
05_No_Star,axis_aligned_line_ratio,0.5237999999999999,0.026125849268492714,0.484,0.556,0.06040000000000005,0.03671294049786808,0.028000000000000025,0.1120000000000001,HIGH,0.8,DROP,0.2519087059502132
05_No_Star,background_mad,0.9054,0.02209615351141459,0.881,0.94,0.8108000000000001,0.04419230702282918,0.762,0.8799999999999999,HIGH,1.0,CORE,0.8390407692977171
05_No_Star,background_median,0.945,0.03179308100829485,0.901,0.992,0.8899999999999999,0.0635861620165897,0.802,0.984,HIGH,1.0,CORE,0.8847413837983411
05_No_Star,bright_area_ratio,0.0204,0.011056219968868202,0.008,0.04,0.9591999999999998,0.022112439937736386,0.92,0.984,LOW,1.0,CORE,0.9554287560062263
05_No_Star,diagonal_line_ratio,0.6112,0.04813065551184613,0.569,0.674,0.2224,0.09626131102369226,0.1379999999999999,0.3480000000000001,HIGH,1.0,DROP,0.38185386889763073
05_No_Star,elongated_angle_consistency,0.11200000000000002,0.026381811916545844,0.06,0.13,0.776,0.05276362383309168,0.74,0.88,LOW,1.0,CORE,0.815923637616691
05_No_Star,elongated_angle_std,0.8880000000000001,0.026381811916545816,0.87,0.94,0.776,0.05276362383309163,0.74,0.8799999999999999,HIGH,1.0,CORE,0.815923637616691
05_No_Star,elongated_star_count,0.06,0.022803508501982758,0.03,0.09,0.8800000000000001,0.0456070170039655,0.8200000000000001,0.94,LOW,1.0,CORE,0.8874392982996036
05_No_Star,elongated_star_ratio,0.06,0.022803508501982758,0.03,0.09,0.8800000000000001,0.0456070170039655,0.8200000000000001,0.94,LOW,1.0,CORE,0.8874392982996036
05_No_Star,line_angle_std,0.5692,0.08636295502123582,0.412,0.656,0.2088,0.07342588099573609,0.09200000000000008,0.31200000000000006,HIGH,0.8,DROP,0.3342174119004264
05_No_Star,long_line_count,0.5129999999999999,0.09095493389585854,0.396,0.606,0.18199999999999997,0.025361387974635795,0.1479999999999999,0.21199999999999997,HIGH,0.6,DROP,0.3137638612025364
05_No_Star,longest_line_ratio,0.7426,0.06446890723441802,0.663,0.833,0.4852,0.12893781446883607,0.32600000000000007,0.6659999999999999,HIGH,1.0,DROP,0.5532462185531164
05_No_Star,max_aspect_ratio,0.022,0.011454256850621082,0.012,0.044,0.9559999999999998,0.022908513701242146,0.912,0.976,LOW,1.0,CORE,0.9515091486298758
05_No_Star,max_streak_area_ratio,0.288,0.09424224105994085,0.118,0.36,0.42400000000000004,0.1884844821198817,0.28,0.764,LOW,1.0,DROP,0.5059515517880119
05_No_Star,max_streak_aspect_ratio,0.4832000000000001,0.0791742382344156,0.382,0.572,0.14079999999999998,0.0798658875866286,0.0020000000000000018,0.236,LOW,0.6,DROP,0.24597341124133715
05_No_Star,max_streak_length_ratio,0.2552,0.07517020686415597,0.118,0.31,0.4896,0.15034041372831194,0.38,0.764,LOW,1.0,DROP,0.5692859586271688
