class,feature,fold,auc,strength,direction,n_positive,n_negative
02_Out_of_Focus,axis_aligned_line_ratio,2,0.654,0.30800000000000005,HIGH,10,50
02_Out_of_Focus,axis_aligned_line_ratio,3,0.586,0.17199999999999993,HIGH,10,50
02_Out_of_Focus,axis_aligned_line_ratio,4,0.591,0.18199999999999994,HIGH,10,50
02_Out_of_Focus,axis_aligned_line_ratio,5,0.644,0.28800000000000003,HIGH,10,50
02_Out_of_Focus,background_mad,1,0.23,0.54,LOW,10,50
02_Out_of_Focus,background_mad,2,0.355,0.29000000000000004,LOW,10,50
02_Out_of_Focus,background_mad,3,0.317,0.366,LOW,10,50
02_Out_of_Focus,background_mad,4,0.357,0.28600000000000003,LOW,10,50
02_Out_of_Focus,background_mad,5,0.313,0.374,LOW,10,50
02_Out_of_Focus,background_median,1,0.254,0.492,LOW,10,50
02_Out_of_Focus,background_median,2,0.316,0.368,LOW,10,50
02_Out_of_Focus,background_median,3,0.299,0.402,LOW,10,50
02_Out_of_Focus,background_median,4,0.32,0.36,LOW,10,50
02_Out_of_Focus,background_median,5,0.301,0.398,LOW,10,50
02_Out_of_Focus,bright_area_ratio,1,0.46,0.07999999999999996,LOW,10,50
02_Out_of_Focus,bright_area_ratio,2,0.656,0.31200000000000006,HIGH,10,50
02_Out_of_Focus,bright_area_ratio,3,0.512,0.02400000000000002,HIGH,10,50
02_Out_of_Focus,bright_area_ratio,4,0.61,0.21999999999999997,HIGH,10,50
02_Out_of_Focus,bright_area_ratio,5,0.544,0.08800000000000008,HIGH,10,50
02_Out_of_Focus,diagonal_line_ratio,1,0.264,0.472,LOW,10,50
02_Out_of_Focus,diagonal_line_ratio,2,0.198,0.604,LOW,10,50
02_Out_of_Focus,diagonal_line_ratio,3,0.405,0.18999999999999995,LOW,10,50
02_Out_of_Focus,diagonal_line_ratio,4,0.392,0.21599999999999997,LOW,10,50
02_Out_of_Focus,diagonal_line_ratio,5,0.276,0.44799999999999995,LOW,10,50
02_Out_of_Focus,elongated_angle_consistency,1,0.5,0.0,NONE,10,50
02_Out_of_Focus,elongated_angle_consistency,2,0.504,0.008000000000000007,HIGH,10,50
02_Out_of_Focus,elongated_angle_consistency,3,0.522,0.04400000000000004,HIGH,10,50
02_Out_of_Focus,elongated_angle_consistency,4,0.63,0.26,HIGH,10,50
02_Out_of_Focus,elongated_angle_consistency,5,0.508,0.016000000000000014,HIGH,10,50
02_Out_of_Focus,elongated_angle_std,1,0.5,0.0,NONE,10,50
02_Out_of_Focus,elongated_angle_std,2,0.496,0.008000000000000007,LOW,10,50
02_Out_of_Focus,elongated_angle_std,3,0.478,0.04400000000000004,LOW,10,50
02_Out_of_Focus,elongated_angle_std,4,0.37,0.26,LOW,10,50
02_Out_of_Focus,elongated_angle_std,5,0.492,0.016000000000000014,LOW,10,50
02_Out_of_Focus,elongated_star_count,1,0.555,0.1100000000000001,HIGH,10,50
02_Out_of_Focus,elongated_star_count,2,0.604,0.20799999999999996,HIGH,10,50
02_Out_of_Focus,elongated_star_count,3,0.51,0.020000000000000018,HIGH,10,50
02_Out_of_Focus,elongated_star_count,4,0.647,0.29400000000000004,HIGH,10,50
02_Out_of_Focus,elongated_star_count,5,0.553,0.1060000000000001,HIGH,10,50
02_Out_of_Focus,elongated_star_ratio,1,0.776,0.552,HIGH,10,50
02_Out_of_Focus,elongated_star_ratio,2,0.732,0.46399999999999997,HIGH,10,50
02_Out_of_Focus,elongated_star_ratio,3,0.63,0.26,HIGH,10,50
02_Out_of_Focus,elongated_star_ratio,4,0.686,0.3720000000000001,HIGH,10,50
02_Out_of_Focus,elongated_star_ratio,5,0.724,0.44799999999999995,HIGH,10,50
02_Out_of_Focus,line_angle_std,1,0.515,0.030000000000000027,HIGH,10,50
02_Out_of_Focus,line_angle_std,2,0.694,0.3879999999999999,HIGH,10,50
02_Out_of_Focus,line_angle_std,3,0.63,0.26,HIGH,10,50
02_Out_of_Focus,line_angle_std,4,0.5,0.0,NONE,10,50
02_Out_of_Focus,line_angle_std,5,0.584,0.16799999999999993,HIGH,10,50
02_Out_of_Focus,long_line_count,1,0.621,0.242,HIGH,10,50
02_Out_of_Focus,long_line_count,2,0.521,0.04200000000000004,HIGH,10,50
02_Out_of_Focus,long_line_count,3,0.585,0.16999999999999993,HIGH,10,50
02_Out_of_Focus,long_line_count,4,0.571,0.1419999999999999,HIGH,10,50
02_Out_of_Focus,long_line_count,5,0.525,0.050000000000000044,HIGH,10,50
