class_a,class_b,feature,fold,auc,strength,direction,n_a,n_b
01_Good,02_Out_of_Focus,mean_hfr,4,0.56,0.1200000000000001,HIGH,10,10
01_Good,02_Out_of_Focus,mean_hfr,5,0.74,0.48,HIGH,10,10
01_Good,02_Out_of_Focus,mean_hollowness,1,0.295,0.41000000000000003,LOW,10,10
01_Good,02_Out_of_Focus,mean_hollowness,2,0.175,0.65,LOW,10,10
01_Good,02_Out_of_Focus,mean_hollowness,3,0.315,0.37,LOW,10,10
01_Good,02_Out_of_Focus,mean_hollowness,4,0.36,0.28,LOW,10,10
01_Good,02_Out_of_Focus,mean_hollowness,5,0.375,0.25,LOW,10,10
01_Good,02_Out_of_Focus,mean_intensity,1,0.9,0.8,HIGH,10,10
01_Good,02_Out_of_Focus,mean_intensity,2,0.77,0.54,HIGH,10,10
01_Good,02_Out_of_Focus,mean_intensity,3,0.86,0.72,HIGH,10,10
01_Good,02_Out_of_Focus,mean_intensity,4,0.7,0.3999999999999999,HIGH,10,10
01_Good,02_Out_of_Focus,mean_intensity,5,0.71,0.41999999999999993,HIGH,10,10
01_Good,02_Out_of_Focus,mean_star_area,1,0.42,0.16000000000000003,LOW,10,10
01_Good,02_Out_of_Focus,mean_star_area,2,0.38,0.24,LOW,10,10
01_Good,02_Out_of_Focus,mean_star_area,3,0.52,0.040000000000000036,HIGH,10,10
01_Good,02_Out_of_Focus,mean_star_area,4,0.47,0.06000000000000005,LOW,10,10
01_Good,02_Out_of_Focus,mean_star_area,5,0.57,0.1399999999999999,HIGH,10,10
01_Good,02_Out_of_Focus,median_eccentricity,1,0.2,0.6,LOW,10,10
01_Good,02_Out_of_Focus,median_eccentricity,2,0.19,0.62,LOW,10,10
01_Good,02_Out_of_Focus,median_eccentricity,3,0.51,0.020000000000000018,HIGH,10,10
01_Good,02_Out_of_Focus,median_eccentricity,4,0.3,0.4,LOW,10,10
01_Good,02_Out_of_Focus,median_eccentricity,5,0.32,0.36,LOW,10,10
01_Good,02_Out_of_Focus,median_fwhm,1,0.51,0.020000000000000018,HIGH,10,10
01_Good,02_Out_of_Focus,median_fwhm,2,0.43,0.14,LOW,10,10
01_Good,02_Out_of_Focus,median_fwhm,3,0.56,0.1200000000000001,HIGH,10,10
01_Good,02_Out_of_Focus,median_fwhm,4,0.45,0.09999999999999998,LOW,10,10
01_Good,02_Out_of_Focus,median_fwhm,5,0.67,0.3400000000000001,HIGH,10,10
01_Good,02_Out_of_Focus,median_fwhm_ratio,1,0.2,0.6,LOW,10,10
01_Good,02_Out_of_Focus,median_fwhm_ratio,2,0.19,0.62,LOW,10,10
01_Good,02_Out_of_Focus,median_fwhm_ratio,3,0.51,0.020000000000000018,HIGH,10,10
01_Good,02_Out_of_Focus,median_fwhm_ratio,4,0.3,0.4,LOW,10,10
01_Good,02_Out_of_Focus,median_fwhm_ratio,5,0.31,0.38,LOW,10,10
01_Good,02_Out_of_Focus,median_hfr,1,0.67,0.3400000000000001,HIGH,10,10
