feature,true_class,min,median,max,n
longest_line_ratio,04_Over_Saturated,0.0,0.21120829631357654,0.9990234375,50
longest_line_ratio,05_No_Star,0.9677734374999999,0.998046875,0.9990234375,50
longest_line_ratio,06_Satellite,0.18031400841886933,0.9970703125,0.9990234375,50
axis_aligned_line_ratio,01_Good,0.006589785831960461,0.011174209247291966,0.02044153720359771,50
axis_aligned_line_ratio,02_Out_of_Focus,0.0,0.014281685778993605,1.0,50
axis_aligned_line_ratio,03_Tracking_Error,0.0,0.011095080416272468,0.3333333333333333,50
axis_aligned_line_ratio,04_Over_Saturated,0.0,0.0,1.0,50
axis_aligned_line_ratio,05_No_Star,0.0041876046901172526,0.012269989963198395,0.018821603927986905,50
axis_aligned_line_ratio,06_Satellite,0.0,0.012755254116040364,0.15966386554621848,50
diagonal_line_ratio,01_Good,0.9721995094031071,0.9857842894456166,0.9925311203319502,50
diagonal_line_ratio,02_Out_of_Focus,0.0,0.9812916716332364,0.9907640638119227,50
diagonal_line_ratio,03_Tracking_Error,0.0,0.9853358518015101,0.9933665008291874,50
diagonal_line_ratio,04_Over_Saturated,0.0,0.0,1.0,50
diagonal_line_ratio,05_No_Star,0.9746317512274959,0.9856759257396865,0.9932998324958124,50
diagonal_line_ratio,06_Satellite,0.7983193277310925,0.9847883942309319,1.0,50
line_angle_std,01_Good,4.591307409858356,5.515128891502924,7.623962800527149,50
line_angle_std,02_Out_of_Focus,0.0,5.819379038551007,26.91413592229214,50
line_angle_std,03_Tracking_Error,0.0,5.458854780634724,20.58306534387889,50
line_angle_std,04_Over_Saturated,0.0,0.0,25.759349708497364,50
line_angle_std,05_No_Star,4.511947406044641,5.796352919818004,6.7545296605271865,50
line_angle_std,06_Satellite,1.9862004435834688,5.795819097393009,21.196401796298655,50
streak_count,01_Good,0,0.0,0,50
streak_count,02_Out_of_Focus,0,0.0,0,50
streak_count,03_Tracking_Error,0,0.0,1,50
streak_count,04_Over_Saturated,0,0.0,1,50
streak_count,05_No_Star,0,0.0,0,50
streak_count,06_Satellite,0,1.0,1,50
max_streak_length_ratio,01_Good,0.025919882463180624,0.09993298058475572,0.5434502312439579,50
max_streak_length_ratio,02_Out_of_Focus,0.021076067653102055,0.07945336591215672,0.221352572054335,50
max_streak_length_ratio,03_Tracking_Error,0.028338595268811682,0.0996156727673854,0.6537315907638662,50
max_streak_length_ratio,04_Over_Saturated,0.02722255989113337,0.10098917007172659,0.7056898041396112,50
max_streak_length_ratio,05_No_Star,0.018023021069779755,0.033189617189985615,0.4231788463683609,50
max_streak_length_ratio,06_Satellite,0.12403881790700091,0.7070632856388843,0.8338594662793013,50
max_streak_aspect_ratio,01_Good,1.5447455670105796,3.2486560775504145,6.076923076923077,50
max_streak_aspect_ratio,02_Out_of_Focus,1.85,3.212499851627547,11.913043212149713,50
max_streak_aspect_ratio,03_Tracking_Error,2.289940828402367,4.280553643428361,34.54166637310679,50
max_streak_aspect_ratio,04_Over_Saturated,1.8589742941339105,3.6897831894987947,20.271398307281057,50
max_streak_aspect_ratio,05_No_Star,2.9035712432355973,3.869679042012709,5.777777690809241,50
max_streak_aspect_ratio,06_Satellite,2.166666873991181,23.77319470680805,62.5983877688848,50
max_streak_area_ratio,01_Good,0.00014019012451171875,0.003827810287475586,0.05600452423095703,50
max_streak_area_ratio,02_Out_of_Focus,0.0004200935363769531,0.005557537078857422,0.03279924392700195,50
max_streak_area_ratio,03_Tracking_Error,0.00020170211791992188,0.003447294235229492,0.037688255310058594,50
max_streak_area_ratio,04_Over_Saturated,0.000301361083984375,0.003063201904296875,0.03710317611694336,50
max_streak_area_ratio,05_No_Star,6.628036499023438e-05,0.00017714500427246094,0.10162162780761719,50
max_streak_area_ratio,06_Satellite,0.0010857582092285156,0.008327960968017578,0.026122093200683594,50
